Category,Id,SalaryNormalized,log_avg_salary,len_requirement,words_requirement
"Energy, Oil & Gas Jobs",70053958.56762749,45653.09268292683,10.631297708353786,1006.2470066518847,128.08647450110865
IT Jobs,69858811.8155809,43983.91138944469,10.606099131449989,1233.724293844035,159.48629264870203
Legal Jobs,70246968.45265296,42649.00101548617,10.524019530911488,962.5846661589236,125.7095709570957
Accounting & Finance Jobs,69785631.99482743,38751.21509658519,10.43328160021584,1086.1598919710702,138.67573011077542
Consultancy Jobs,69851567.71284094,37028.87159056083,10.404712682844469,1325.446521605884,170.19491265706404
Trade & Construction Jobs,70157591.25076383,36406.66210252348,10.395831333272021,932.8576439968315,120.81339821206292
Engineering Jobs,70020461.19937237,35838.26833240645,10.412480594816286,1214.1491221101137,153.85413521887662
"PR, Advertising & Marketing Jobs",69996906.48622091,35593.786875988255,10.388277830851685,1215.6875988253896,157.97989609216174
Other/General Jobs,70120113.22966872,35346.434007622396,10.322107424458094,1158.9555555555555,149.44614482556435
Scientific & QA Jobs,69564703.53716353,34436.93089594215,10.352796824437755,1314.439132181599,166.13499397348332
Creative & Design Jobs,69883057.58130841,33173.54267912773,10.310645969694512,1133.991277258567,147.8760124610592
Retail Jobs,70148345.84052248,32955.73481166464,10.299932684661776,1168.596901579587,153.78250303766708
HR & Recruitment Jobs,69548091.66186957,32589.864125502398,10.303988224365986,1225.5603526513678,157.4559834046415
Healthcare & Nursing Jobs,67582073.78415184,32588.7674970344,10.274436537842764,1032.3040569395018,136.89480427046263
Property Jobs,69700522.94797687,32512.806358381502,10.304563395624664,1087.733140655106,139.70712909441232
Social work Jobs,70028898.51345876,32381.336613603475,10.277718684350448,945.8399421128798,125.76555716353111
Sales Jobs,69921150.69910838,30814.882295044,10.237644667203899,1307.700613710051,171.6204261232052
Charity & Voluntary Jobs,69810722.79373927,28272.921955403086,10.165455655109362,910.9369639794168,119.20368782161235
Graduate Jobs,69973628.52516904,28107.513148009017,10.164852463406021,1368.6551465063862,177.31555221637865
Teaching Jobs,69981483.86381261,27671.020574503444,10.152183610555905,1138.0560259555275,150.92632745113556
Manufacturing Jobs,69824814.16972111,26497.898273572377,10.06882962451921,925.253652058433,118.24780876494025
Logistics & Warehouse Jobs,69756236.70244977,26497.79603633361,10.058730233963011,964.0638590696394,126.60528488852188
Travel Jobs,69779197.89763276,23838.97472808701,10.005412933420848,1298.4939219449775,172.68809980806142
Hospitality & Catering Jobs,69460873.09241477,23702.74125627698,9.998835799360846,1101.6775614483306,152.40701259800898
Admin Jobs,69998445.86708695,21053.660756501184,9.874054636102603,1004.3990018387182,129.94693984764908
Customer Services Jobs,69669115.1992413,19861.437242289296,9.822659201467697,1144.807191159492,150.96486887679367
Maintenance Jobs,69648788.79053178,17726.057068741895,9.684400068721061,508.49935149156937,68.50778210116732
Domestic help & Cleaning Jobs,70708243.814433,17553.621993127148,9.70069752343564,639.6185567010309,89.7491408934708
Part time Jobs,71697713.69655173,10030.068965517241,9.126540464335603,757.0,105.34482758620689
